io_industry,io_industry_name,upstreamness,match1,match2,match3,match4
337122,Nonupholstered wood household furniture manufacturing,1.005199,44,94,,
337127,Institutional furniture manufacturing,1.086546,94,,,
33712A,Metal and other household furniture (except wood) manufacturing,1.095818,83,94,,
337212,Office furniture and custom architectural woodwork and millwork manufacturing,1.225291,44,,,
337215,"Showcase, partition, shelving, and locker manufacturing",1.46821,94,,,
33721A,"Wood television, radio, and sewing machine cabinet manufacturing",2.007962,85,,,
337910,Mattress manufacturing,1.028845,94,,,
337920,Blind and shade manufacturing,1.041274,94,,,
339111,Laboratory apparatus and furniture manufacturing,1.038281,84,85,,
339112,Surgical and medical instrument manufacturing,1.438459,90,,,
339113,Surgical appliance and supplies manufacturing,1.694542,90,,,
339114,Dental equipment and supplies manufacturing,1.733966,90,,,
339115,Ophthalmic goods manufacturing,1.057229,90,,,
339116,Dental laboratories,2.006519,90,,,
339910,Jewelry and silverware manufacturing,1.139179,71,,,
339920,Sporting and athletic goods manufacturing,1.084966,95,,,
339930,"Doll, toy, and game manufacturing",1.030368,95,,,
339940,Office supplies (except paper) manufacturing,1.980701,94,,,
339950,Sign manufacturing,1.134041,94,,,
339991,"Gasket, packing, and sealing device manufacturing",3.132913,84,,,
339992,Musical instrument manufacturing,1.153763,92,,,
339994,"Broom, brush, and mop manufacturing",1.809248,96,,,
33999A,All other miscellaneous manufacturing,1.436005,96,,,
420000,Wholesale trade,1.891922,,,,
481000,Air transportation,1.613762,,,,
482000,Rail transportation,2.880222,,,,
483000,Water transportation,1.788765,,,,
484000,Truck transportation,2.195139,,,,
485000,Transit and ground passenger transportation,1.790613,,,,
486000,Pipeline transportation,3.059353,,,,
48A000,Scenic and sightseeing transportation and support activities for transportation,2.813615,,,,
491000,Postal service,2.578029,,,,
492000,Couriers and messengers,2.943761,,,,
493000,Warehousing and storage,2.752308,,,,
4A0000,Retail trade,1.125046,,,,
511110,Newspaper publishers,1.078418,49,,,
511120,Periodical publishers,1.558364,49,,,
511130,Book publishers,1.333911,49,,,
5111A0,"Directory, mailing list, and other publishers",1.820265,49,,,
511200,Software publishers,1.260137,,,,
512100,Motion picture and video industries,2.501264,37,,,
512200,Sound recording industries,1.678507,85,,,
515100,Radio and television broadcasting,4.014117,,,,
515200,Cable and other subscription programming,3.305211,,,,
516110,Internet publishing and broadcasting,3.033708,,,,
517000,Telecommunications,1.941025,,,,
518100,Internet service providers and web search portals,1.625285,,,,
518200,"Data processing, hosting, and related services",2.804744,,,,
519100,Other information services,1.776074,,,,
522A00,Nondepository credit intermediation and related activities,2.344634,,,,
523000,"Securities, commodity contracts, investments, and related activities",2.15841,,,,
524100,Insurance carriers,1.661194,,,,
524200,"Insurance agencies, brokerages, and related activities",2.914803,,,,
525000,"Funds, trusts, and other financial vehicles",1.179416,,,,
52A000,Monetary authorities and depository credit intermediation,2.109439,,,,
531000,Real estate,2.006876,,,,
532100,Automotive equipment rental and leasing,2.026366,,,,
532230,Video tape and disc rental,1,,,,
532400,Commercial and industrial machinery and equipment rental and leasing,2.888114,,,,
532A00,General and consumer goods rental except video tapes and discs,1.642349,,,,
533000,Lessors of nonfinancial intangible assets,3.308292,,,,
541100,Legal services,2.143709,,,,
541200,"Accounting, tax preparation, bookkeeping, and payroll services",2.638026,,,,
541300,"Architectural, engineering, and related services",2.263994,,,,
541400,Specialized design services,2.810282,,,,
541511,Custom computer programming services,1.07318,,,,
541512,Computer systems design services,2.207829,,,,
54151A,"Other computer related services, including facilities management",2.812059,,,,
541610,"Management, scientific, and technical consulting services",2.878356,,,,
5416A0,Environmental and other technical consulting services,2.72559,,,,
541700,Scientific research and development services,2.464522,,,,
541800,Advertising and related services,2.909793,,,,
541920,Photographic services,1.654096,,,,
541940,Veterinary services,1.208289,,,,
5419A0,"All other miscellaneous professional, scientific, and technical services",2.991941,,,,
550000,Management of companies and enterprises,2.930482,,,,
561100,Office administrative services,2.789222,,,,
561200,Facilities support services,2.421758,,,,
561300,Employment services,2.847225,,,,
561400,Business support services,2.739254,,,,
561500,Travel arrangement and reservation services,2.264586,,,,
561600,Investigation and security services,2.393543,,,,
561700,Services to buildings and dwellings,2.604299,,,,
561900,Other support services,2.623678,,,,
562000,Waste management and remediation services,2.376486,,,,
611100,Elementary and secondary schools,1,,,,
611A00,"Junior colleges, colleges, universities, and professional schools",1.148859,,,,
611B00,Other educational services,1.177201,,,,
621600,Home health care services,1.000262,,,,
621A00,"Offices of physicians, dentists, and other health practitioners",1.002037,,,,
621B00,Medical and diagnostic labs and outpatient and other ambulatory care services,1.182615,,,,
622000,Hospitals,1.002521,,,,
623000,Nursing and residential care facilities,1.00463,,,,
624200,"Community food, housing, and other relief services, including rehabilitation services",1.002391,,,,
624400,Child day care services,1.02905,,,,
624A00,Individual and family services,1.018066,,,,
711100,Performing arts companies,1.548084,97,,,
711200,Spectator sports,2.529968,,,,
711500,"Independent artists, writers, and performers",2.99244,,,,
711A00,Promoters of performing arts and sports and agents for public figures,2.140941,,,,
712000,"Museums, historical sites, zoos, and parks",1,97,,,
713940,Fitness and recreational sports centers,1.350605,,,,
713950,Bowling centers,1.022438,,,,
713A00,"Amusement parks, arcades, and gambling industries",1.004495,,,,
713B00,Other amusement and recreation industries,1.348826,,,,
7211A0,"Hotels and motels, including casino hotels",1.922821,,,,
721A00,Other accommodations,1.021601,,,,
722000,Food services and drinking places,1.389456,,,,
811192,Car washes,1.364022,,,,
8111A0,"Automotive repair and maintenance, except car washes",1.446234,,,,
811200,Electronic and precision equipment repair and maintenance,2.347298,85,90,,
811300,Commercial and industrial machinery and equipment repair and maintenance,2.910212,84,,,
811400,Personal and household goods repair and maintenance,1.992768,94,,,
812100,Personal care services,1.016808,,,,
812200,Death care services,1,,,,
812300,Dry-cleaning and laundry services,1.663161,,,,
812900,Other personal services,1.174635,,,,
813100,Religious organizations,1,,,,
813A00,"Grantmaking, giving, and social advocacy organizations",1.006721,,,,
813B00,"Civic, social, professional, and similar organizations",1.860186,,,,
814000,Private households,1,,,,
S00101,Federal electric utilities,1,,,,
S00102,Other Federal Government enterprises,3.251808,,,,
S00201,State and local government passenger transit,1,,,,
S00202,State and local government electric utilities,1,,,,
S00203,Other state and local government enterprises,1.364874,,,,
S00500,General Federal defense government services,1,,,,
S00600,General Federal nondefense government services,1,,,,
S00700,General state and local government services,1,,,,
S00800,Owner-occupied dwellings,1,,,,
